Day Index,Users
20/08/2017,1471078
21/08/2017,858034
22/08/2017,718097
23/08/2017,695517
24/08/2017,784230
25/08/2017,671463
26/08/2017,974738
27/08/2017,1003435
28/08/2017,890623
29/08/2017,980096
30/08/2017,794384
31/08/2017,770344
01/09/2017,922462
02/09/2017,862327
03/09/2017,846202
04/09/2017,754377
05/09/2017,1943445
06/09/2017,2232947
07/09/2017,2209623
08/09/2017,1613596
09/09/2017,1616473
10/09/2017,1782186
11/09/2017,1592556
12/09/2017,1649623
13/09/2017,1865585
14/09/2017,1698885
15/09/2017,1660022
16/09/2017,1603653
17/09/2017,1616022
18/09/2017,1426302
19/09/2017,1534862
20/09/2017,1397840
21/09/2017,1531438
22/09/2017,1387665
23/09/2017,1359090
24/09/2017,1691788
25/09/2017,1534549
26/09/2017,1463779
27/09/2017,1291369
28/09/2017,1263572
29/09/2017,1421530
30/09/2017,1441246
01/10/2017,1228645
02/10/2017,1305118
03/10/2017,1292244
04/10/2017,1095293
05/10/2017,940084
06/10/2017,626783
07/10/2017,511698
08/10/2017,693030
09/10/2017,690621
10/10/2017,937217
11/10/2017,1065564
12/10/2017,1035052
13/10/2017,998558
14/10/2017,1439449
15/10/2017,1967067
16/10/2017,1592911
17/10/2017,1275316
18/10/2017,1269920
19/10/2017,1089532
20/10/2017,1266649
21/10/2017,1509640
22/10/2017,1525501
23/10/2017,1553693
24/10/2017,1423987
25/10/2017,1382293
26/10/2017,1458642
27/10/2017,1618772
28/10/2017,1790749
29/10/2017,2109244
30/10/2017,1672550
31/10/2017,1571665
01/11/2017,1262663
02/11/2017,1329680
03/11/2017,1419389
04/11/2017,1555561
05/11/2017,1632575
06/11/2017,1614599
07/11/2017,1528498
08/11/2017,1885362
09/11/2017,1414437
10/11/2017,1563114
11/11/2017,1445878
12/11/2017,1410266
13/11/2017,1289932
14/11/2017,1324569
15/11/2017,1624559
16/11/2017,2023040
17/11/2017,1664709
18/11/2017,1406544
19/11/2017,1329567
20/11/2017,1199536
21/11/2017,1127478
22/11/2017,1152029
23/11/2017,1782112
24/11/2017,1797726
25/11/2017,1814123
26/11/2017,1660045
27/11/2017,2130915
28/11/2017,1478119
29/11/2017,1415463
30/11/2017,1343342
01/12/2017,2341820
02/12/2017,2636496
03/12/2017,2167636
04/12/2017,1611941
05/12/2017,2109479
06/12/2017,1704725
07/12/2017,1663286
08/12/2017,1430985
09/12/2017,1463176
10/12/2017,2202389
11/12/2017,2016619
12/12/2017,1899783
13/12/2017,1859816
14/12/2017,2085327
15/12/2017,2071221
16/12/2017,1764360
17/12/2017,1847344
18/12/2017,1981200
19/12/2017,2190039
20/12/2017,2031155
21/12/2017,2023838
22/12/2017,1856584
23/12/2017,1888018
24/12/2017,2274334
25/12/2017,1998612
26/12/2017,2154008
27/12/2017,2024850
28/12/2017,1842770
29/12/2017,1760968
30/12/2017,1760866
31/12/2017,1554462
