"","cluster","variable","value"
"352",2,"Sports",0
"353",3,"Sports",0
"354",4,"Sports",0
"355",5,"Sports",0
"356",6,"Sports",0
"357",7,"Sports",0
"358",8,"Sports",0
"359",9,"Sports",5
"360",10,"Sports",0
"361",11,"Sports",0
"362",12,"Sports",0
"363",13,"Sports",0
"364",14,"Sports",0
"365",15,"Sports",0
"366",16,"Sports",0
"367",17,"Sports",0
"368",18,"Sports",0
"369",19,"Sports",0
"370",20,"Sports",0
"371",21,"Sports",0
"372",22,"Sports",0
"373",23,"Sports",1
"374",24,"Sports",0
"375",25,"Sports",0
"376",1,"Travel...Photography",0
"377",2,"Travel...Photography",0
"378",3,"Travel...Photography",6
"379",4,"Travel...Photography",0
"380",5,"Travel...Photography",0
"381",6,"Travel...Photography",0
"382",7,"Travel...Photography",0
"383",8,"Travel...Photography",0
"384",9,"Travel...Photography",0
"385",10,"Travel...Photography",0
"386",11,"Travel...Photography",0
"387",12,"Travel...Photography",0
"388",13,"Travel...Photography",0
"389",14,"Travel...Photography",0
"390",15,"Travel...Photography",0
"391",16,"Travel...Photography",0
"392",17,"Travel...Photography",0
"393",18,"Travel...Photography",0
"394",19,"Travel...Photography",1
"395",20,"Travel...Photography",0
"396",21,"Travel...Photography",0
"397",22,"Travel...Photography",0
"398",23,"Travel...Photography",1
"399",24,"Travel...Photography",0
"400",25,"Travel...Photography",0
